scheme,fe_degree,refinements,h,dt,dofs,final_l2_error,final_energy_ratio,wall_time
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,3,0.125,0.02,81,0.0154899,1,0.282285
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,3,0.125,0.01,81,0.0165431,1,0.605692
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,3,0.125,0.005,81,0.0168068,1,1.2077
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,3,0.125,0.0025,81,0.0168727,1,2.31514
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,3,0.125,0.04,289,0.00555874,1,0.199967
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,3,0.125,0.02,289,0.00136663,1,0.321152
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,3,0.125,0.01,289,0.000317294,1,0.705316
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,3,0.125,0.005,289,8.03871e-05,1,1.48853
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,3,0.125,0.0025,289,6.83935e-05,1,2.90696
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,4,0.0625,0.04,289,0.00135442,1,0.181054
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,4,0.0625,0.02,289,0.00288071,1,0.35006
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,4,0.0625,0.01,289,0.0039322,1,0.735925
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,4,0.0625,0.005,289,0.00419573,1,1.42784
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,4,0.0625,0.0025,289,0.00426165,1,2.58867
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,4,0.0625,0.04,1089,0.00559726,1,0.258648
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,4,0.0625,0.02,1089,0.00140406,1,0.507265
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,4,0.0625,0.01,1089,0.000349562,1,1.07546
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,4,0.0625,0.005,1089,8.58194e-05,1,2.0897
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,4,0.0625,0.0025,1089,2.10577e-05,1,4.50435
